APK,APKPackage,ClassToSearch,MethodToSearch,FoundAtClass,FoundAtMethod,Arguments0,Arguments1,Arguments2,Arguments3,Unit
base.apk,br.com.brainweb.ifood,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setNumUpdates(int),bo.app.o1,"void a(android.content.Context,android.app.PendingIntent,bo.app.w1)",1,,,,virtualinvoke $r6.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setNumUpdates(int)>(1)
base.apk,br.com.brainweb.ifood,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setPriority(int),bo.app.o1,"void a(android.content.Context,android.app.PendingIntent,bo.app.w1)",100,,,,virtualinvoke $r6.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setPriority(int)>(100)
base.apk,br.com.brainweb.ifood,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setPriority(int),br.com.ifood.address.list.view.AddressListFragment,void t6(),100,,,,virtualinvoke $r1.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setPriority(int)>(100)
base.apk,br.com.brainweb.ifood,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setPriority(int),sg1.u,void o(),100,,,,virtualinvoke $r1.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setPriority(int)>(100)
base.apk,br.com.brainweb.ifood,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setInterval(long),sg1.u,void o(),5000,,,,virtualinvoke $r1.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setInterval(long)>(5000L)
base.apk,br.com.brainweb.ifood,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)",com.threatmetrix.TrustDefender.RL.hhuuuh,"boolean b00670067006700670067gg(android.location.LocationManager,java.lang.String,long,android.location.Criteria,android.os.Looper)",Variable,Variable,,,"virtualinvoke $r3.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)>($r4, $l0, $f0, $r5, $r2)"
base.apk,br.com.brainweb.ifood,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)",com.incognia.core.jcE,"void xX(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)",Variable,Variable,,,"virtualinvoke $r4.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)>($r1, $l0, $f0, $r2, $r3)"
base.apk,br.com.brainweb.ifood,android.location.LocationManager,void requestSingleUpdate\(.*\),bo.app.o,void a(java.lang.String),,,,,"virtualinvoke $r5.<android.location.LocationManager: void requestSingleUpdate(java.lang.String,android.app.PendingIntent)>($r1, $r4)"
base.apk,br.com.brainweb.ifood,android.location.LocationManager,void requestSingleUpdate\(.*\),com.incognia.core.jcE,"boolean xX(java.lang.String,android.app.PendingIntent)",,,,,"virtualinvoke $r3.<android.location.LocationManager: void requestSingleUpdate(java.lang.String,android.app.PendingIntent)>($r2, $r1)"
base.apk,br.com.brainweb.ifood,android.location.LocationManager,void requestSingleUpdate\(.*\),com.incognia.core.jcE,"boolean xX(java.lang.String,android.location.LocationListener,android.os.Looper)",,,,,"virtualinvoke $r4.<android.location.LocationManager: void requestSingleUpdate(java.lang.String,android.location.LocationListener,android.os.Looper)>($r3, $r1, $r2)"
base.apk,br.com.brainweb.ifood,.*,void requestLocationUpdates\(.*\),com.threatmetrix.TrustDefender.RL.hhuuuh,"boolean b00670067006700670067gg(android.location.LocationManager,java.lang.String,long,android.location.Criteria,android.os.Looper)",,,,,"virtualinvoke $r3.<android.location.LocationManager: void requestLocationUpdates(long,float,android.location.Criteria,android.location.LocationListener,android.os.Looper)>($l0, $f0, $r1, $r5, $r2)"
base.apk,br.com.devbase.rapidocar,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setPriority(int),br.com.devbase.cluberlibrary.service.GpsServiceBind,void createLocationRequest(),100,,,,virtualinvoke $r1.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setPriority(int)>(100)
base.apk,br.com.devbase.rapidocar,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setInterval(long),br.com.devbase.cluberlibrary.service.GpsServiceBind,void createLocationRequest(),10000,,,,virtualinvoke $r1.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setInterval(long)>(10000L)
base.apk,br.com.easynvest.rendafixa,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)",com.pushio.manager.PIOLocationManager,void startListeningForLocationUpdate(),0,0.0,,,"virtualinvoke $r1.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)>($r5, 0L, 0.0F, r0, $r6)"
base.apk,br.com.easynvest.rendafixa,.*,void requestLocationUpdates\(.*\),com.pushio.manager.PIORegistrationManager,void scheduleRegistration(boolean),,,,,virtualinvoke $r1.<com.pushio.manager.PIOLocationManager: void requestLocationUpdates()>()
base.apk,br.com.petrobras.br.ma02,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setPriority(int),com.reactnativecommunity.geolocation.PlayServicesLocationManager,void startObserving(com.facebook.react.bridge.ReadableMap),Variable,,,,virtualinvoke $r3.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setPriority(int)>($b2)
base.apk,br.com.petrobras.br.ma02,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setPriority(int),com.anagog.jedai.core.service.broadcast.FusedLocationBroadcastReceiver,com.google.android.gms.location.LocationRequest setSize1(),Variable,,,,virtualinvoke $r0.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setPriority(int)>($i0)
base.apk,br.com.petrobras.br.ma02,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setPriority(int),com.anagog.jedai.core.internal.setMicrosegmentsSnapshotReportHandler,boolean newBuilder(android.content.Context),100,,,,virtualinvoke $r2.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setPriority(int)>(100)
base.apk,br.com.petrobras.br.ma02,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setPriority(int),com.anagog.jedai.core.internal.fillInStackTrace,com.google.android.gms.location.LocationRequest setVersion(int),Variable,,,,virtualinvoke $r0.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setPriority(int)>($i0)
